codigo_ibge;nome;;latitude;longitude;capital;codigo_uf;siafi_id;ddd;fuso_horario
5200050;Abadia de Goiás;ABADIA DE GOIÁS;-167.573;-49.441200;0;52;1050;62;America/Sao_Paulo
3100104;Abadia dos Dourados;ABADIA DOS DOURADOS;-18.483100;-47.391600;0;31;4001;34;America/Sao_Paulo
5200100;Abadiânia;ABADIÂNIA;-16.197;-48.705700;0;52;9201;62;America/Sao_Paulo
3100203;Abaeté;ABAETÉ;-19.155100;-45.444400;0;31;4003;37;America/Sao_Paulo
1500107;Abaetetuba;ABAETETUBA;-172.183;-48.878800;0;15;401;91;America/Sao_Paulo
2300101;Abaiara;ABAIARA;-73.458800;-39.041600;0;23;1301;88;America/Sao_Paulo
2900108;Abaíra;ABAÍRA;-132.488;-41.661900;0;29;3301;77;America/Sao_Paulo
2900207;Abaré;ABARÉ;-87.207300;-39.116200;0;29;3303;75;America/Sao_Paulo
4100103;Abatiá;ABATIÁ;-23.304900;-50.313300;0;41;7401;43;America/Sao_Paulo
4200051;Abdon Batista;ABDON BATISTA;-27.612600;-51.023300;0;42;9939;49;America/Sao_Paulo
1500131;Abel Figueiredo;ABEL FIGUEIREDO;-49.533300;-48.393300;0;15;375;94;America/Sao_Paulo
4200101;Abelardo Luz;ABELARDO LUZ;-26.571600;-52.322900;0;42;8001;49;America/Sao_Paulo
3100302;Abre Campo;ABRE CAMPO;-20.299600;-42.474300;0;31;4005;31;America/Sao_Paulo
2600054;Abreu e Lima;ABREU E LIMA;-79.007200;-34.898400;0;26;2631;81;America/Sao_Paulo
1700251;Abreulândia;ABREULÂNDIA;-9.621010;-49.151800;0;17;337;63;America/Sao_Paulo
3100401;Acaiaca;ACAIACA;-20.359;-43.143900;0;31;4007;31;America/Sao_Paulo
2100055;Açailândia;AÇAILÂNDIA;-49.471400;-47.500400;0;21;961;99;America/Sao_Paulo
2900306;Acajutiba;ACAJUTIBA;-116.575;-38.019700;0;29;3305;75;America/Sao_Paulo
1500206;Acará;ACARÁ;-19.538300;-48.198500;0;15;403;91;America/Sao_Paulo
2300150;Acarape;ACARAPE;-42.208300;-38.705500;0;23;1231;85;America/Sao_Paulo
2300200;Acaraú;ACARAÚ;-28.876900;-40.118300;0;23;1303;88;America/Sao_Paulo
2400109;Acari;ACARI;-64.282;-36.634700;0;24;1601;84;America/Sao_Paulo
2200053;Acauã;ACAUÃ;-82.195400;-41.083100;0;22;266;89;America/Sao_Paulo
4300034;Aceguá;ACEGUÁ;-31.866500;-54.161500;0;43;1118;53;America/Sao_Paulo
2300309;Acopiara;ACOPIARA;-60.891100;-39.448;0;23;1305;88;America/Sao_Paulo
5100102;Acorizal;ACORIZAL;-15.194;-56.363200;0;51;9001;65;America/Porto_Velho
1200013;Acrelândia;ACRELÂNDIA;-9.825810;-66.897200;0;12;643;68;America/Rio_Branco
5200134;Acreúna;ACREÚNA;-17.396;-50.374900;0;52;9645;64;America/Sao_Paulo
2400208;Açu;AÇU;-55.836200;-36.914;0;24;1603;84;America/Sao_Paulo
3100500;Açucena;AÇUCENA;-19.067100;-42.541900;0;31;4009;33;America/Sao_Paulo
3500105;Adamantina;ADAMANTINA;-21.682;-51.073700;0;35;6101;18;America/Sao_Paulo
5200159;Adelândia;ADELÂNDIA;-164.127;-50.165700;0;52;9769;64;America/Sao_Paulo
3500204;Adolfo;ADOLFO;-21.232500;-49.645100;0;35;6103;17;America/Sao_Paulo
4100202;Adrianópolis;ADRIANÓPOLIS;-24.660600;-48.992200;0;41;7403;41;America/Sao_Paulo
2900355;Adustina;ADUSTINA;-105.437;-38.111300;0;29;3253;75;America/Sao_Paulo
2600104;Afogados da Ingazeira;AFOGADOS DA INGAZEIRA;-77.431200;-37.631;0;26;2301;87;America/Sao_Paulo
2400307;Afonso Bezerra;AFONSO BEZERRA;-54.922900;-36.507500;0;24;1605;84;America/Sao_Paulo
3200102;Afonso Cláudio;AFONSO CLÁUDIO;-20.077800;-41.126100;0;32;5601;27;America/Sao_Paulo
2100105;Afonso Cunha;AFONSO CUNHA;-41.363100;-43.327500;0;21;701;98;America/Sao_Paulo
2600203;Afrânio;AFRÂNIO;-85.113600;-41.009500;0;26;2303;87;America/Sao_Paulo
1500305;Afuá;AFUÁ;-0.154874;-50.386100;0;15;405;91;America/Sao_Paulo
2600302;Agrestina;AGRESTINA;-84.596600;-35.944700;0;26;2305;81;America/Sao_Paulo
2200103;Agricolândia;AGRICOLÂNDIA;-57.967600;-42.666400;0;22;1001;86;America/Sao_Paulo
4200200;Agrolândia;AGROLÂNDIA;-27.408700;-49.822;0;42;8003;47;America/Sao_Paulo
4200309;Agronômica;AGRONÔMICA;-27.266200;-49.708;0;42;8005;47;America/Sao_Paulo
1500347;Água Azul do Norte;ÁGUA AZUL DO NORTE;-67.905300;-50.479100;0;15;383;94;America/Sao_Paulo
3100609;Água Boa;ÁGUA BOA;-179.914;-42.380600;0;31;4011;33;America/Sao_Paulo
5100201;Água Boa;ÁGUA BOA;-14.051;-52.160100;0;51;9191;66;America/Porto_Velho
2200202;Água Branca;ÁGUA BRANCA;-58.885600;-42.637;0;22;1003;86;America/Sao_Paulo
2500106;Água Branca;ÁGUA BRANCA;-75.114400;-37.635700;0;25;1901;83;America/Sao_Paulo
2700102;Água Branca;ÁGUA BRANCA;-9.262;-37.938;0;27;2701;82;America/Sao_Paulo
5000203;Água Clara;ÁGUA CLARA;-20.445200;-52.879;0;50;9003;67;America/Porto_Velho
3100708;Água Comprida;ÁGUA COMPRIDA;-20.057600;-48.106900;0;31;4013;34;America/Sao_Paulo
4200408;Água Doce;ÁGUA DOCE;-26.998500;-51.552800;0;42;8007;49;America/Sao_Paulo
2100154;Água Doce do Maranhão;ÁGUA DOCE DO MARANHÃO;-28.404800;-42.118900;0;21;104;98;America/Sao_Paulo
3200169;Água Doce do Norte;ÁGUA DOCE DO NORTE;-18.548200;-40.985400;0;32;5717;27;America/Sao_Paulo
2900405;Água Fria;ÁGUA FRIA;-118.618;-38.763900;0;29;3307;75;America/Sao_Paulo
5200175;Água Fria de Goiás;ÁGUA FRIA DE GOIÁS;-149.778;-47.782300;0;52;9771;62;America/Sao_Paulo
5200209;Água Limpa;ÁGUA LIMPA;-18.077100;-48.760300;0;52;9203;64;America/Sao_Paulo
2400406;Água Nova;ÁGUA NOVA;-62.035100;-38.294100;0;24;1607;84;America/Sao_Paulo
2600401;Água Preta;ÁGUA PRETA;-87.060900;-35.526300;0;26;2307;81;America/Sao_Paulo
4300059;Água Santa;ÁGUA SANTA;-28.167200;-52.031;0;43;8499;54;America/Sao_Paulo
3500303;Aguaí;AGUAÍ;-22.057200;-46.973500;0;35;6105;19;America/Sao_Paulo
3100807;Aguanil;AGUANIL;-20.943900;-45.391500;0;31;4015;35;America/Sao_Paulo
2600500;Águas Belas;ÁGUAS BELAS;-9.111250;-37.122600;0;26;2309;87;America/Sao_Paulo
3500402;Águas da Prata;ÁGUAS DA PRATA;-21.931900;-46.717600;0;35;6107;19;America/Sao_Paulo
4200507;Águas de Chapecó;ÁGUAS DE CHAPECÓ;-27.075400;-52.980800;0;42;8009;49;America/Sao_Paulo
3500501;Águas de Lindóia;ÁGUAS DE LINDÓIA;-22.473300;-46.631400;0;35;6109;19;America/Sao_Paulo
3500550;Águas de Santa Bárbara;ÁGUAS DE SANTA BÁRBARA;-22.881200;-49.242100;0;35;7019;14;America/Sao_Paulo
